producer_replicas,producer_batch_serial,producer_batch_parallel,producer_max_partitions,consumer1_replicas,consumer1_batch_parallel,consumer2_replicas,consumer2_batch_parallel
1,10,10,1,1,10,1,10
1,10,10,2,1,10,1,10
1,10,10,3,1,10,1,10
1,10,10,4,1,10,1,10
1,10,10,5,1,10,1,10
1,10,10,6,1,10,1,10
1,10,10,7,1,10,1,10
1,10,10,8,1,10,1,10
1,10,10,9,1,10,1,10
1,10,10,10,1,10,1,10
